,BaseLayer,TopLayer,PosXTop,PosYTop,PosZTop,PosXBase,PosYBase,PosZBase,ConnectingVectorX,ConnectingVectorY,ConnectingVectorZ,AngleOfTilt
0,18,14,17430.399999999998,30119.7312,25483.2448,24437.4208,30381.1872,21665.9872,-7007.020800000002,-261.45600000000195,3817.257600000001,17.371424383629044
1,13,9,17587.273599999997,23374.1664,25919.0048,24542.0032,23374.1664,21892.5824,-6954.729600000002,0.0,4026.4223999999995,18.813595781475804
2,19,16,17709.2864,16733.183999999997,26250.1824,24664.016,16471.728000000003,22241.1904,-6954.729599999999,261.4559999999947,4008.992000000002,18.844158331434965
3,16,6,17901.020800000002,10092.2016,26947.3984,24786.0288,9586.719999999998,22502.6464,-6885.007999999998,505.4816000000028,4444.751999999997,21.94192865316903
4,11,8,16332.2848,26459.3472,19766.0736,23321.8752,26598.7904,15896.5248,-6989.590399999999,-139.44320000000153,3869.5488000000005,17.714651103702217
5,3,10,16454.2976,19853.2256,20097.2512,23426.4576,19800.9344,16157.9808,-6972.16,52.2912000000033,3939.2703999999994,18.2254675617226
6,15,12,16576.3104,13194.812799999998,20480.72,23548.4704,12828.774399999998,16419.4368,-6972.16,366.03839999999946,4061.2832000000017,19.20294208860237
7,7,15,16698.3232,6658.412799999999,20794.4672,23653.0528,5891.475199999999,16680.892799999998,-6954.729600000002,766.9376000000002,4113.574400000001,20.198087615651673
8,8,11,14937.8528,29875.7056,12950.7872,22084.3168,29858.2752,9813.3152,-7146.464,17.4304000000011,3137.4720000000016,12.456549957140345
9,1,18,15164.448,22973.2672,13770.015999999998,22223.76,22920.976,10196.783999999998,-7059.311999999998,52.29119999999966,3573.232,15.609970050716589
10,17,22,15286.4608,16245.1328,14083.763199999998,22328.3424,16018.5376,10458.239999999998,-7041.881600000001,226.59519999999975,3625.5231999999996,16.119270539429102
11,12,19,15391.043199999998,9551.8592,14345.219199999998,22432.9248,9098.6688,10702.2656,-7041.881600000002,453.1904000000013,3642.953599999997,16.51740815708624
12,10,21,13839.7376,26075.8784,7216.185599999999,20968.7712,26093.3088,4096.143999999999,-7129.033599999999,-17.430399999997462,3120.0415999999996,12.380646239422168
13,4,13,13996.611199999998,19330.3136,7739.097599999999,21108.2144,19121.1488,4444.751999999999,-7111.603200000003,209.1648000000023,3294.3456000000006,13.74103570867666
14,6,17,14101.1936,12602.1792,7983.123199999999,21212.7968,12183.849599999998,4706.207999999999,-7111.6032,418.32960000000276,3276.9152000000004,13.930508992117597
15,9,20,14205.775999999998,5786.8928,8209.7184,21317.3792,5333.702399999999,4897.942399999999,-7111.603200000001,453.1904000000004,3311.7760000000007,14.217301293964738
