Name,Unit,Caption,PosX,PosY,PosZ
Centroids_top,Micrometers,1,12179.2083,32549.426,7368.3316
Centroids_top,Micrometers,2,12429.588500000002,24483.6067,2593.2235
Centroids_top,Micrometers,3,12304.398400000002,29974.0868,2646.8764000000006
Centroids_top,Micrometers,4,11821.522300000002,31744.632500000003,32764.037599999996
Centroids_top,Micrometers,5,11964.5967,32048.665599999997,22909.7883
Centroids_top,Micrometers,6,12536.8943,16399.903100000003,7278.910100000001
Centroids_top,Micrometers,7,12268.6298,25342.0531,12232.861200000001
Centroids_top,Micrometers,8,12286.514100000002,27559.7063,7261.0258
Centroids_top,Micrometers,9,12411.7042,22015.5733,7171.6043
Centroids_top,Micrometers,10,12143.4397,30778.8803,12447.472800000001
Centroids_top,Micrometers,11,12107.6711,28847.375900000003,17544.498300000003
Centroids_top,Micrometers,12,11946.7124,26111.078,32585.1946
Centroids_top,Micrometers,13,11946.7124,29312.367700000003,27756.4336
Centroids_top,Micrometers,14,12519.01,13717.258100000001,12286.514100000002
Centroids_top,Micrometers,15,12393.8199,19654.845699999998,12107.6711
Centroids_top,Micrometers,16,12214.9769,14200.1342,32567.310299999997
Centroids_top,Micrometers,17,12089.7868,26486.6483,22480.565100000003
Centroids_top,Micrometers,18,12232.861200000001,23106.515600000002,17222.5809
Centroids_top,Micrometers,19,12071.9025,20227.1433,32495.7731
Centroids_top,Micrometers,20,12375.9356,17007.9693,17097.3908
Centroids_top,Micrometers,21,12358.051300000001,14396.8615,22355.375
Centroids_top,Micrometers,22,12089.7868,23446.317300000002,27434.516200000002
Centroids_top,Micrometers,23,12232.861200000001,20459.6392,22158.6477
Centroids_top,Micrometers,24,12214.9769,17383.5396,27398.747600000002
