Name,Unit,Caption,PosX,PosY,PosZ
TopLayerCentroids,Micrometers,1,18981.705599999998,6989.590399999999,32246.239999999994
TopLayerCentroids,Micrometers,2,15495.625599999998,3695.2447999999995,14606.675199999998
TopLayerCentroids,Micrometers,3,18877.123199999998,13491.129599999998,32037.075199999996
TopLayerCentroids,Micrometers,4,17935.881599999997,4061.283199999999,26895.1072
TopLayerCentroids,Micrometers,5,18772.540800000002,20114.6816,31793.0496
TopLayerCentroids,Micrometers,6,17901.020800000002,10092.201599999999,26947.3984
TopLayerCentroids,Micrometers,7,18685.3888,26842.816,31583.884799999996
TopLayerCentroids,Micrometers,8,16332.2848,26459.3472,19766.0736
TopLayerCentroids,Micrometers,9,17587.273599999997,23374.166400000002,25919.0048
TopLayerCentroids,Micrometers,10,16454.2976,19853.225599999998,20097.2512
TopLayerCentroids,Micrometers,11,14937.852799999999,29875.7056,12950.787199999999
TopLayerCentroids,Micrometers,12,16576.3104,13194.812799999998,20480.72
TopLayerCentroids,Micrometers,13,13996.611199999998,19330.313599999998,7739.097599999999
TopLayerCentroids,Micrometers,14,17430.399999999998,30119.7312,25483.2448
TopLayerCentroids,Micrometers,15,16698.3232,6658.412799999999,20794.4672
TopLayerCentroids,Micrometers,16,17709.2864,16733.183999999997,26250.182399999998
TopLayerCentroids,Micrometers,17,14101.193599999999,12602.179199999999,7983.123199999999
TopLayerCentroids,Micrometers,18,15164.447999999999,22973.2672,13770.015999999998
TopLayerCentroids,Micrometers,19,15391.043199999998,9551.859199999999,14345.219199999998
TopLayerCentroids,Micrometers,20,14205.775999999998,5786.8928,8209.7184
TopLayerCentroids,Micrometers,21,13839.737599999999,26075.878399999998,7216.185599999999
TopLayerCentroids,Micrometers,22,15286.460799999999,16245.1328,14083.763199999998
