Name,Unit,Caption,PosX,PosY,PosZ
BaseLayerCellCentroids,Micrometers,1,19200.9132,34231.743899999994,3762.3410999999996
BaseLayerCellCentroids,Micrometers,2,20312.9352,3688.2062999999994,33805.468799999995
BaseLayerCellCentroids,Micrometers,3,19942.261199999997,34324.412399999994,28300.959899999998
BaseLayerCellCentroids,Micrometers,4,19553.0535,34324.412399999994,15401.5047
BaseLayerCellCentroids,Micrometers,5,19553.0535,3577.0040999999997,9081.512999999999
BaseLayerCellCentroids,Micrometers,6,19960.794899999997,3595.5377999999996,22018.0356
BaseLayerCellCentroids,Micrometers,7,19275.048,20868.9462,3725.2736999999997
BaseLayerCellCentroids,Micrometers,8,19237.9806,28338.027299999998,3780.8747999999996
BaseLayerCellCentroids,Micrometers,9,19330.6491,13418.398799999999,3743.8073999999997
BaseLayerCellCentroids,Micrometers,10,19386.2502,5930.784,3743.8073999999997
BaseLayerCellCentroids,Micrometers,11,20275.8678,9952.596899999999,33861.0699
BaseLayerCellCentroids,Micrometers,12,20238.8004,17403.1443,33842.536199999995
BaseLayerCellCentroids,Micrometers,13,20183.1993,24872.2254,33842.536199999995
BaseLayerCellCentroids,Micrometers,14,20127.5982,32285.705399999995,33842.536199999995
BaseLayerCellCentroids,Micrometers,15,19460.385,17162.206199999997,8988.8445
BaseLayerCellCentroids,Micrometers,16,19515.986100000002,9711.658799999997,9025.9119
BaseLayerCellCentroids,Micrometers,17,19423.3176,24649.821,8933.2434
BaseLayerCellCentroids,Micrometers,18,19738.3905,6079.053599999999,15586.841699999997
BaseLayerCellCentroids,Micrometers,19,19701.3231,13529.600999999999,15549.7743
BaseLayerCellCentroids,Micrometers,20,20146.1319,6116.120999999999,28467.763199999998
BaseLayerCellCentroids,Micrometers,21,19645.722,20980.1484,15457.1058
BaseLayerCellCentroids,Micrometers,22,19923.727499999997,9822.860999999999,21980.9682
BaseLayerCellCentroids,Micrometers,23,19868.1264,17291.9421,21925.3671
BaseLayerCellCentroids,Micrometers,24,20090.5308,13566.668399999999,28393.628399999998
BaseLayerCellCentroids,Micrometers,25,20034.9297,21035.749499999998,28375.094699999998
BaseLayerCellCentroids,Micrometers,26,19590.1209,28412.162099999998,15420.0384
BaseLayerCellCentroids,Micrometers,27,19812.5253,24761.0232,21869.766
BaseLayerCellCentroids,Micrometers,28,19367.7165,32100.368399999996,8914.7097
BaseLayerCellCentroids,Micrometers,29,19997.862299999997,28523.3643,28319.493599999998
BaseLayerCellCentroids,Micrometers,30,19756.9242,32211.570599999995,21832.6986
