Name,Unit,Caption,PosX,PosY,PosZ
BaseLayerCentroids,Micrometers,1,17795.372000000003,5550.680800000001,33230.3216
BaseLayerCentroids,Micrometers,2,17408.1152,19455.044,3872.568
BaseLayerCentroids,Micrometers,3,17666.2864,28859.852000000003,3854.1272000000004
BaseLayerCentroids,Micrometers,4,18053.5432,14900.166400000002,33193.439999999995
BaseLayerCentroids,Micrometers,5,17149.944000000003,10179.321600000001,3927.8903999999998
BaseLayerCentroids,Micrometers,6,18569.8856,33636.0192,33174.9992
BaseLayerCentroids,Micrometers,7,18311.7144,24268.092800000002,33174.9992
BaseLayerCentroids,Micrometers,8,17647.845600000004,5569.1216,28030.016
BaseLayerCentroids,Micrometers,9,17629.4048,14863.284800000001,17205.2664
BaseLayerCentroids,Micrometers,10,17684.727200000005,19473.484800000002,14402.2648
BaseLayerCentroids,Micrometers,11,17721.6088,10216.203200000002,25319.2184
BaseLayerCentroids,Micrometers,12,17574.082400000003,10160.8808,19916.064000000002
BaseLayerCentroids,Micrometers,13,17518.760000000002,5550.680800000001,22571.539200000003
BaseLayerCentroids,Micrometers,14,17813.812800000003,19510.366400000003,19786.978400000004
BaseLayerCentroids,Micrometers,15,17776.931200000003,14918.607200000002,22608.4208
BaseLayerCentroids,Micrometers,16,17371.2336,5569.1216,17205.2664
BaseLayerCentroids,Micrometers,17,17850.694400000004,10179.321600000001,30667.050400000004
BaseLayerCentroids,Micrometers,18,17906.0168,14881.725600000002,27974.693600000002
BaseLayerCentroids,Micrometers,19,17223.7072,5550.680800000001,11783.671200000003
BaseLayerCentroids,Micrometers,20,17961.339200000002,19491.925600000002,25171.692000000003
BaseLayerCentroids,Micrometers,21,17426.556000000004,10179.321600000001,14494.468800000002
BaseLayerCentroids,Micrometers,22,18071.984000000004,28859.852000000003,19805.419200000004
BaseLayerCentroids,Micrometers,23,18016.6616,24231.2112,22516.216800000002
BaseLayerCentroids,Micrometers,24,17076.180800000002,5513.7992,6380.5168
BaseLayerCentroids,Micrometers,25,17795.372000000003,28878.292800000003,8925.347200000002
BaseLayerCentroids,Micrometers,26,18108.865600000005,19510.366400000003,30667.050400000004
BaseLayerCentroids,Micrometers,27,17887.576,24231.2112,17113.062400000003
BaseLayerCentroids,Micrometers,28,18145.7472,33580.6968,17113.062400000003
BaseLayerCentroids,Micrometers,29,17998.220800000003,33599.1376,11691.467200000001
BaseLayerCentroids,Micrometers,30,17740.049600000002,24249.652000000002,11709.908000000001
BaseLayerCentroids,Micrometers,31,17537.200800000002,19473.484800000002,8980.669600000001
BaseLayerCentroids,Micrometers,32,17481.8784,14844.844000000001,11746.789600000002
BaseLayerCentroids,Micrometers,33,18274.8328,33580.6968,22479.3352
BaseLayerCentroids,Micrometers,34,18164.188000000002,24249.652000000002,27919.371200000005
BaseLayerCentroids,Micrometers,35,18219.510400000003,28915.174400000004,25227.014400000004
BaseLayerCentroids,Micrometers,36,17942.898400000002,28878.292800000003,14346.942400000002
BaseLayerCentroids,Micrometers,37,17334.352000000003,14844.844000000001,6343.635200000001
BaseLayerCentroids,Micrometers,38,18422.359200000003,33580.6968,27919.371200000005
BaseLayerCentroids,Micrometers,39,17279.0296,10160.8808,9072.8736
BaseLayerCentroids,Micrometers,40,17592.523200000003,24249.652000000002,6306.7536
BaseLayerCentroids,Micrometers,41,17850.694400000004,33636.0192,6306.7536
BaseLayerCentroids,Micrometers,42,18367.036800000005,28859.852000000003,30611.728000000006
