,BaseLayer,TopLayer,PosXTop,PosYTop,PosZTop,PosXBase,PosYBase,PosZBase,ConnectingVectorX,ConnectingVectorY,ConnectingVectorZ,AngleOfTilt
0,24,19,12071.9025,20227.1433,32495.7731,21014.0525,20441.7549,31476.368,-8942.150000000001,-214.61160000000018,1019.4051,7.337772747464718
1,17,16,12214.9769,14200.1342,32567.3103,21139.2426,14361.0929,31422.7151,-8924.265700000002,-160.95869999999923,1144.5951999999997,8.145550767801545
2,27,13,11946.7124,29312.367700000003,27756.4336,20888.8624,29562.7479,26450.8797,-8942.150000000001,-250.38019999999597,1305.553899999999,9.144885146781462
3,32,22,12089.7868,23446.3173,27434.5162,21014.0525,23553.6231,26379.3425,-8924.265700000002,-107.30580000000191,1055.1736999999994,7.598817706985311
4,15,24,12214.9769,17383.5396,27398.7476,21157.1269,17419.3082,26307.8053,-8942.15,-35.768599999999424,1090.9422999999988,7.857804478323131
5,28,17,12089.7868,26486.6483,22480.565100000003,21031.936800000003,26558.1855,21282.317000000003,-8942.150000000003,-71.53719999999885,1198.2481000000007,8.504274637395909
6,13,23,12232.8612,20459.6392,22158.6477,21157.1269,20495.4078,21192.8955,-8924.2657,-35.768599999999424,965.7522000000026,7.085801284228166
7,16,21,12358.0513,14396.8615,22355.375,21300.2013,14396.8615,21157.1269,-8942.150000000001,0.0,1198.2481000000007,8.559397327211155
8,26,11,12107.6711,28847.375900000003,17544.498300000003,21031.936800000003,29526.979300000003,16185.2915,-8924.265700000004,-679.6034,1359.2068000000036,9.960944573583673
9,25,18,12232.8612,23106.5156,17222.5809,21175.0112,23517.8545,16095.87,-8942.150000000001,-411.33890000000247,1126.7109,8.12599664629247
10,21,20,12375.9356,17007.9693,17097.3908,21300.2013,17472.9611,16077.9857,-8924.2657,-464.9917999999998,1019.4051000000018,7.542305721431891
11,11,10,12143.4397,30778.8803,12447.4728,21049.8211,32263.2772,11088.266,-8906.3814,-1484.3968999999997,1359.2068,12.456338494587646
12,20,7,12268.6298,25342.0531,12232.8612,21175.0112,26558.1855,11034.6131,-8906.3814,-1216.1323999999986,1198.2480999999989,10.644411698093998
13,23,15,12393.8199,19654.8457,12107.6711,21300.2013,20584.8293,10980.9602,-8906.3814,-929.9835999999996,1126.7109,9.280848104001924
14,29,14,12519.01,13717.2581,12286.514100000002,21443.2757,14522.0516,10945.191600000002,-8924.265699999998,-804.7935000000016,1341.3225000000002,10.123187177377064
15,36,8,12286.514100000002,27559.7063,7261.0258,21192.8955,29509.095,5937.587600000001,-8906.381399999997,-1949.3886999999995,1323.4381999999996,14.314657665379722
16,34,9,12411.7042,22015.5733,7171.6043,21318.0856,23571.5074,5937.587600000001,-8906.381399999998,-1555.9340999999986,1234.0166999999992,12.187896535553644
17,38,6,12536.8943,16399.903100000003,7278.910100000001,21443.2757,17508.7297,5901.819,-8906.381399999998,-1108.8265999999967,1377.0911000000006,11.190481713741585
